,source,target
65,spare ammo who s the car registered to a george michael klassen nice to meet you you sick prick,a box of bullets who s the car registered to on george michael klassena
67,send ilithyia to the grave,see ilithyia to her grave
68,we ll all be dead,with all of us dead
69,the whole damn army s looking for us,the whole army is after us
70,shut up,be quiet
71,what s more important me or a dog shut up,what s more important me or the dog
72,it was a bitch of a siege,it was quite a siege
73,your nutcase please,so your stud please
74,your concern for my well being is pathetic she said with irony in her voice,your concern for my welfare is touching she said her voice dripping sarcasm
75,but you can t you have locked up access to three idiots with the help of a book which turned against you and you ve been trapped inside the school for years,but you can t because you used the book to keep the metal dudes out of the school and it back fired and you ve been trapped inside the school for years haven t you
76,damn better than mr fenwick battat said,a helluva lot better than mr fenwick s battat said
77,make up your mind what you wanna do with this damn meat,think about what you want to do with this meat
78,this here is a goddamn free country dowd,this is a free country dowd
79,fuck psychotherapist,screw psychotherapy
80,i m sorry the party was stupid but i m not sorry you had fun with your cousin,i m sorry but you were talking to your cousin again
81,largo shut up,largo was silent
82,one day they will die together,someday they ll go down together
83,it s like jew city out there and we re the fucking mayors,it s like a jewish city and we re his mayor
84,at least you were a fool about the right things said faber,at least you ve done good things faber said
85,whatever the fuck that means,whatever it is it means what he wants
86,why wouldn t they kill me,why didn t they stop me huh
87,so how many times did you fuck her,how many times have you slept with her
88,i mean yeah you know me and clef went through our little bullshit,i mean you know me and clef went through our little tie
90,bullshit he said,garn he said
91,didn t you hear a goddamn word i said,didn t you hear what i said
92,yeah then why don t you fuck off,then why don t you go
93,you stay away from my fuckin brother,stay away from my brother
94,i love that loser,i love that show
95,you re damn rude sir,that was very rude sir
96,meteors hitting off california now but they got the whole goddamn base being mobilised,the meteor rocks around california they mobilize the entire base
97,the voice of an angel the face of a fool,oh voice of an angel face of a mong
98,i d rather go check out a gay sex film with my brothers,i d rather just go see a homoerotic action movie with the brothers
99,want me to leave you the fuck alone,do you want me to leave you alone
100,damn,oh gosh
101,i call up the justice department the dea nobody even knows you fucking exist so calm down,i called the department of justice on narcotics no one knows you exist so calm down
102,it s my shit,it s my business
103,he wants to hit me in the face,he s tryin to rub it in my face
104,we re screwed,come on we re doomed
105,she s useless and her husband will be looking for her,and her husband will be looking after her
106,nothing after fucking he asked me if he could stay some days in my place,nothing then as we slept together he asked me if he could stay with me for a few days
107,this is hamilton s clumsy and stupid question but i will answer it,that s an impertinent and irrelevant question hamilton but i ll answer you
108,better let her go motherfucker,better let her go baster
109,you understand dick,you don t understand
110,if the man is fucking you with wild abandon it is your duty and your privilege to encourage him,if a man shuffles you as senses it is your duty and right to encourage him
111,i know i should have hit her,i know i went to bat for her
112,you know i ve got fuck all to do with this,you know i have nothing to do with it
113,somebody walking a fucking dog in three feet of mud,did anyone in that subway dog walk the dog
114,the face said hey old man guess what i m done fucking with civilization,the whole face seemed to be saying hey old man you know what
115,damn this is bad,this is bad
116,shit more shots,gorksroar more shots
117,she has an affair with a married palestinian who also makes bareback gay porn under phil,well he s been having an affair with a married palestinian man who also does
118,you have a really sick sense of humor,you ve got a really dark sense of humor
119,what you re gonna need this when you give all of your little little friends a blowjob pat on your shoulder,which you re gonna need after the jillion high fives you give your little bros
120,no don t fuck up your eyes,no don t tear out your eyes
121,damn that s her,that s her
122,i was the one with noble hands before this shit,i was one with noble hands before the blunder
123,first person comes out this fucking door gets a gets a lead salad you understand,the first person to stick his nose out of this door gets a lead salad
124,idiot what did you say,what did you just say
125,i told you it was stupid,told you it was bogus
126,lucky bastard,lucky son of a gun
127,i can t imagine a fatass wreaking your mathematically accurate brain waves,i can t imagine a mirage ever disturbing those mathematically perfect brain waves of yours
128,shit that s a lot of fireworks,that s a lot of fireworks
129,don t you know an indian trick when you turn into a dick and get us out of here,isn t there some lndian trick where you can turn yourself into a bird and fly us out of here
130,and all those annoying women and for good,and nagging from all women for good
131,police faggot,homo cop
132,mr novian it was a bad fucking weekend,mr novian it s been a hell of a weekend
133,you scare me to death damn you,you scared the hell out of me
134,if you did they d just take you and make you part of their fucking sacrament,even if you did you d be caught and you d be part of that horrendous ceremony
135,i ain t never even been to the playoffs before shit,i ve never been on a playoff spot
136,all right shoot,okay you can fire
137,could you teach him to roll over and sit and do all that shit too,can you also teach him how to roll and sit
138,this idiot s coming with us,this guy s coming with us
139,bagels cars balloons tits,boobs bazooms balloons baas bazonaas
140,he gets an innocent little e mailek with the object jessica alba slipped a nipple,he gets an innocent little e mail with the subject line jessica alba nip slip
141,i told you just a bunch of crap that didn t make sense,just a bunch of stuff that didn t make sense
142,i ve been waiting almost a week for this shit,i ve been waiting for almost a week
143,that shit hurts coco,it hurts like hell
144,were you guys shit talking about me,you were talking to me
145,don t you fucking look at me,stop staring at me sir
146,goddamn,jesus
147,just a tiny pink cock,just a little pink pinky
148,the lie is that he gives a crap how his wife feels,the lie is an argument that he cares about how his wife feels
149,i was watching television and the blond woman tried to fuck all the boys and when her friend found out she figured out a story so everyone thought she wanted to fuck a friend,well i was watching this show and this blonde was trying to make love to all the boys and when her friend find out she made up a story so everyone would think she was the one making love to everyone
150,you want to spank me,you want a piece of me
151,you sat on the damn chair with the knowledge that i would never allow you to do such a thing,you sat down in that trick chair knowing that i would never let you go through with it
152,and all i know is is that trash he killed a man with his bare hands hands that are probably all over my baby right now,all i know is that he killed a man with his bare hands and he s probably hugging my little girl right now
153,oh shit,oh my god
154,walt you could talk about a construction job you just came from and bitch about your girlfriend and your car,you can talk about going out of construction and complaining about a girl and a car
155,and it just confirmed he s gonna be out of here forever so it s really stupid timing,and it s only just been confirmed that he s out permanently so it s really bad timing
156,you son of a bitch do you think i don t know what you re selling,you think i don t know what you sell at school
157,maria andersson the human being sucked,maria andersson as a man failed
158,why don t they just die,oh these things just don t die
159,there s no one to fix them if they go to hell,nobody left to fixthem if they go bust
160,what the fuck do you want,what you guys want
161,well that was just pathetic haven t you ever tried to get somebody to dump a celebrity before,did you ever try to get someone to break up with a celebrity
162,girls with their legs crossed girls with their legs not crossed girls with terrific legs girls with lousy legs girls that looked like swell girls girls that looked like they d be bitches if you knew them,there were girls who had crossed legs and girls who didn t have crossed legs girls with senile legs and girls with ugly feet girls who seemed nice and girls who might have turned out to be nice when you met them
163,i don t want to fuck with you sal,i don t wanna get stuck in you sal
164,i was afraid you were going to cry and it would be pathetic but no,i feared you d become tearful and incoherent but no
165,who the fuck do you think you are,do you think you re christ
166,why can t we just sit down and just shut the fuck up have a beer have a drink,why don t we just sit down and have a beer or drink
167,i can do whatever the fuck i want,i can do what i want
168,play your ridiculous game but don t expect us to take any notice of you,play your games but don t expect to be noticed
169,um i m not so sure i m the best role model you re better than these losers,yeah you know i m not sure i d be the best example
170,i got the mayor the commissioner every news agency hell i even got my own mother crawling up my ass,the mayor was running for me commissioner every press agency and even my mother
172,and well you are the dirtiest girl i ve ever met in every conceivable way so,well you re the toughest girl i know in all directions so
173,god i m an idiot,oh my god i m a mess
175,someone s gonna talk fuck,someone should start talking
176,it was all hotdog shit in leon s weekenders with cheap decks who watched japanese icebreaker kinos,at leon s it was just a bunch of hotdogs amateurs with low cost cars what they were looking at japanese cowboy movies
177,you stink,you smell it
178,if you do it for half an ass and fail she can walk away,you do this half assed and fail she may leave
179,come with me schmuck,come with me
180,stupid idea,that was a bad idea
181,i m anjin san of this whore bitch ship and if i want to go ashore i m going ashore,i m the anjin san of this ship and when i ve decided to go ashore i ll go too
182,i mumbled something stupid and he says i quote now what about you professor,i mumbled something inane and then he said and these are his exact words how about you professor
184,hold your damn horses,bring your horses up
185,trust unto god and he shall direct your path shit,trust god and he will lead your steps
186,you know i was thinking about killing you,you know i was thinking about taking you down
187,i ll be sending you a thought today as i lie in the back of my stretch limo having sex with the teenager of my choice,i ll be thinking of you when i m in the back of my limo and i m going to give it a nice th
188,what the fuck,so what
190,these coats this insane place her history as a hooker and now this job where she s well taken care of,those coats an amazing apartment her past and now a job where she s well taken care of
191,oh you bet your ass,you bet your neck
192,every time i look at you you talk to her and you try to suck up to her,every time i look at you you re trying to talk to her and feel her up
193,oh shit how bad is it,how serious is this
194,what about the abundance of gay ass,what about the abundance of hot buns
195,but you have to say skeeter is the best i m an idiot,skeeter is the coolest i am a nerd
196,he wanted so desperately to simply xerox the damned thing,he desperately wanted it to just oxerox
197,yeah i fucked her,i took her
198,oh fuck your mama the other replied casually,yo momma the other replied casually
199,yes it s really fucked up but we have to fight for every breath and tell death to fuck off,yes it is but you have to fight for every breath and tell death to go away
200,if his retarded friend shows up shoot him well you made it but maybe now it s payback time and depending on how you sound you know that,well you managed that but maybe now it s payback time and maybe from the way your voice sounds you know it
201,maybe i like garbage,maybe i like the smell
202,stop calling her shit jamis said,stop calling her sayyadina jamis said
203,you still can t lie worth shit bobbi,you still don t know how to lie bobbi
204,that you can fuck with us,are you gonna play with us
205,you better give that shit back,you better return it
206,i ve been saying this shit for over years,i ve beenin this racket over years
207,fuck you guys can t do this,you guys ain t gonna do this
208,the stranger s car was heavy and his ass was running on the wet asphalt,the car was accelerating hard and fishtailing on the wet asphalt
209,this is some fucked up repugnant shit jules did you ever hear the philosophy that once a man admits he is wrong that he is immediately forgiven for all wrongdoings,julia have you ever heard of a philosophy that says that if you acknowledge your mistake is immediately forgiven
210,the loyalty is honorable but we re gonna get him in here eventually and how long do you think it s gonna take for him to roll on your ass,your loyalty is noble but we will eventually get him here and how long do you think it s going to be before you get kicked out
212,oh shit you ve been dating her for weeks and you still haven t brought her home when you re gonna finally meet us with this nice lady huh,gosh you ve been seeing this rita for weeks now and you still haven t brought her over to the house when are we gonna meet the lovely lady huh
213,you behaved like a man and that takes balls by the way,you acted like a man and it takes guts by the way
214,what the fuck is that,what the frig
215,it s best if i end my life,it s best if i resume my life
216,he is death,it s death
218,damn now where are they going,where are you going
219,you there you can shoot the fan,you over there can you move that fan
220,garbage ponse remarked,lies said pons
221,we re back in and there s this guy this really kind of great smokin guy who can actually stand me long enough to have sex with me,i met a guy who s so hot and he s laying me down so much he s even sleeping with me
223,shut up this works,quiet this is working
224,it s a fucking mess,it s a mess
225,well i still don t think he should be a lazy monkey for racism,well i i still don t think porch monkey should be considered a racial term
226,little dick,little tail
227,that s exactly the kind of pigheaded crap that will make stalin think we are the next enemy,that s what stalin will have of us for the next enemies
228,a person who believes that fucking is a sexual discourse is simply never going to be any good in the sack,a man who believes shuffling is a sexual conversation will never be in bed for anything
229,phil don t lock it you bastard,phil don t lock me in
230,can it sound like an old scratch board with fuck,good is there a way we can make it sound old and scratchy with like a hiss
231,it s in the damn ship the plant s in the damn ship,it s in the frelling ship the plant is in the frelling ship
232,come on down to the hammer and have sex with our children,come to the hammer and have fun with our kids
233,there s real criminals running around the city powell so forgive me if i move the guy that took the fucker in the bottom drawer,we ve got real criminals in this city powell so forgive me if i move the guy who took out a felon to the bottom of the stack
234,shit that s a dentist,it s the dentist
235,there goes jamie motherfucking foxx,hey here s jamie zhensyn s foxx
236,look i look like a loser,i mean look at me i look like a schlemiel
237,just get this crap off me,just put the mess away from me
238,damn that s hot,hell that s hot
239,who are you conning with that phony radio shit,who did you want to fool with that radio
240,get the shit beat out of me spending the night in a ditch can be pretty consuming,being beaten and spending the night on the street could be exhausting
241,it s a metaphor for a shit movie,a metaphor for a gare film
242,corrupt cops yes shit,undercover cops yo
244,this is really good shit to know,that s really good to know
245,so why don t you do us both a favor just quit your yappin grab a couple of glasses and a corkscrew and come sit your little ass down on the couch,so do us both a favor stop talking bring me two glasses and a corkscrew and come to my seat
246,i get my ass kicked by betsey crocker,i almost got busted by betsey crocker
247,it says crap,it just says wrong
249,also mccabe is very sharp he likes to fuck with you,but mccabe is also very clever and likes to play with you
250,i want you and your father to figure your shit out,i want you to deal with your father
252,show yourself before i stab you,show yourself before i run you through
253,in our movie darth vibrator is a bad girl who wants to fuck the galaxy literally and it s up to lubed and hung to stop her with their cocks,in our movie the darth vibrator negative which wants to invade the galaxy literally and it s up to luke and han to stop her using their tails
254,well goddamn it let s get the hell out of here and celebrate,oh come on let s get out of here and we il celebrate
255,mercy should know better than to fuck with boo this close to her date,mercy should know he s not supposed to be messing around with boo when he s almost out
256,when i go to bed at night i see men hovering over me with their naked asses in my face,when i go to bed at night i see men floating around on my face
257,kill all plants and animals,which exterminate all plant and animal life
258,the law is never wrong asshole,the law is never wrong
259,no fucking reason,i got no reason
260,what a fucking summer that was,it was a terrible summer
261,that bitch is your problem now,now the cow is your problem
262,pig let s go home,let s go home
263,you got no fucking right,you have no right
264,oh yes one other thing your secret partner mario andretti friedman wrecked the goddamn ferrari here you talk to jeffrey,something else your secret colleague mario andretti friedman blew it up with a hell of a ferrari
265,what is fuck,what s bonking
266,don t give a shit where the rocket launcher is,who cares about where the rocket launcher is
268,this son of a bitch did bucks worth of damage,it s a shame for hundreds of dollars
269,maybe i will do that after i go and eat this waves and make them in my shit,maybe i ll do it as soon as i make these waves and eat their meat loaf
270,i ll be by mygiant pretend phone pretending to give a crap,i ll be waiting by my fake phone and pretending to be interested
271,damn rabbits,oi bloody rabbit
272,i ll use a list of names he left me and i will destroy those who contaminate my city,to use the list of names he left me and bring down those who are poisoning my city
273,so i apologized for any misunderstanding bitch and i left,so i apologized for any misunderstandings
274,shut up cause you broke my house,you broke my apartment
275,mr rush get out there and face the buckaroo or i ll shoot you,mr rush you re going outside and you re going to fight the buckaroo or i ll take you outside there
276,no one wants to hear your stupid songs about nothing,no one wants to hear your songs about nothing
277,and then you fucked up,and then you pissed off
278,fits and jerks,jerks and leaps
280,yeah well clean trucks are for sissies,yeah well clean cars are for fifinches
282,get your ass back here pronto,come back here quickly
283,i want to put one of my shit on the antenna,i m going to plant one of my lasers on that antenna
284,say good morning you scum,say good morning
285,doesn t anybody answer their fucking phone,no one s answering the phone yet
287,i ve been sober for nearly a year which is not easy with fucking enablers around,i ve been sober for almost a year which is hard when everyone offers me booze
288,if not you can sit here playing with yourself until fisk sends more men to kill you,if you don t you can sit here and wait for fisk to send other people to you
289,say goodbye loser,say good bye mongoose
290,god damn him,i mean jesus
292,even if i m about to become a pussy in a minute i m gonna start crying and calling my mom,even if i tuoward and start crying and asking for my mom in a minute
293,so who did you fuck with these condoms,then why did you have the condoms
294,julia if you don t understand how i feel you can go to hell with the whole valley,julia if you can t understand how i feel then you can go down with this valley
295,shut up,hush
296,fucking disaster,is a disaster
297,son of a bitch that s why we have to be the chief of the doppelganger,old son that s why we ve got to have a double for the chief
298,how the people who control the money are diminishing your existence to working in a fucking dirty factory which puts smoke up in the air which pollutes the world and you re working your ass off saving money for your kids getting pennies while they re making hundreds of dollars,the ones who control your finances make your life worse and they make you work in nasty factories that are blowing smoke into the air blowing up the world and you squat like a horse for almost nothing while they make hundreds of dollars
299,if this shit goes down and opie comes down to it he won t be out of it,if this thing goes bad and opie has to go down that road there s no way he s coming back
300,if he wants to get blown up that s his damn business,if he wants to get fired that s his thing
301,some lunatic,some nut
302,your sentimental bullshit is not working on me anymore,your sentimental speeches don t work on me any more
303,then there was a flash of it and a big man splattered in the way like old metal and cherry started screaming before the terrible complex noise was heard and the dark floor was downstairs where she found the drug in the damn blood stained bag,then there s this blue flash outside and the big guy gets sprayed with blood from out there as old metal tears loose and cherry s screaming before the catwalk thing hits with this big complicated sound dark floor down there where she found the wiz in its bloody bag
304,bullshit,nuts
305,in the next few years bobby kennedy martin luther king men who became dangerous by fighting for a better life of peace killed by such lonely fools,in later years bobby kennedy martin luther king men whose commitmentto change and peace made them dangerous to mencommitted to war would follow also killed by such lonely crazed men
306,good shooting shitty shooting,good shooting bad shots
307,where s your stick now bitch,where do you keep your stick
308,what are the fucking odds of an italian guy from miami knowing arabic,what are the odds that an italian from miami will be able to do arabic
309,she left the damn door open for storage,she left the flipping compartment door open
310,i ll personally see that you fry in the goddamn chair for this,i ll see you in person when you re in that chair
311,i never heard such a load of crap in all my life,in all my life i haven t heard that kind of tie together
312,leave me the fuck alone,leave me alone
313,rubbish said sol,nonsense said sol
314,oh for the love of god take the damn picture,for christ s sake take my picture
315,can you cut the crap and tell me what s going on,would you stop playing games and just tell me what is going on
316,don t pretend you care about the damn things,don t pretend you care about the eight balls
318,oh bloody ace,hell of an ace
319,your call to the doctor threatening the girl s life was stupid,your phone call to the doctor about the threat to the girl s life was unreasonable
320,i m not fucking with you sir,i m not yelling with you sir
321,come on easy shut up,hey just relax
322,his trail will lead us all the way to the comet s nest rosenberg will look like a fool,his trail will lead us to a nest of communists that will make the rosenbergs look like ma and pa kettle
323,see you think amanda s gonna do shit like this for you,see do you think amanda s going to do it for you too
324,same muscles and no brains,all muscle and no mentality
325,you lucky bastard,you re lucky
326,go back to your whoring,go back to stepping back
327,oh shit i ve actually heard of that,hell i heard about that
328,it s my fucking brother,there s my brother
329,it sounds stupid now that i m saying it out loud but at the time it seemed,it sounds bad when i m saying it out loud now but it used to be
330,oh shit,oh my god
331,my family never shut up,and my family will not give up
332,you don t know what i m talking about huh you lying prick,you don t know what i m talking about do you
333,get the fuck in the air,pick up the plane
334,you re worse than demons,worse than demons
335,time to die werewolf wow ron moore creator of battlestar galactica,wow ron moore starring battlestar galattica
336,so i wanna hear all the dirty dairy specific details of your night with java the slut,i want to hear all the ladies and information about the medical department on your night with your coffee and the detail
337,who s the only goddamn woman in the galaxy,what kind of woman do you know in the galaxy
338,i just got fucked for lying to my client and if they found out i lied about you going to harvard they would have taken my license,i just got reamed for lying to a client and if they find out that i lied about you going to harvard they ll take away my license
339,oh shit,oh shoot
340,i thought you were such a puny charlatan,i thought you were one of those tent revival fakes
341,you know i don t give you too much shit about the guys you go out with,remember i never told you much about the boys you dated
342,clean your damn desk,clean the table
343,you bastards we ve been planning this for months,we ve been planning this for months
344,if i die promise you ll never have sex with another man,if i don t live around here promise me you ll never be with another again
345,if he doesn t come we re screwed,and if she don t come we re stuck
346,what do you think i m a fag,what do you think
347,i m not an eye guy i don t know how this crap works,i don t know how this machine works
349,holy shit,oh my god
350,if you think you re gonna control this girl or you can handle her you re gonna be out of your fucking mind son,if you think you re gonna control this girl or control yourself with her you ve got a mind breaking realization coming son
351,you got drugged or stupid or both,then you were drugged or lost
353,get the fuck out of the way,get out of my way
354,i d be afraid to start that sweet ass caddy every morning,i d be afraid to start the car in the morning
355,likely half the soldiers either didn t believe that call or were simply too drunk to heed it and the other half probably couldn t even find their damned weapons,half the soldiers probably didn t even trust the call or they were too drunk to hear them and the second half probably couldn t find the guns
356,stammering i m gonna get some air before i tear your head off,i m going to the air to keep your heads up
357,i m still the toughest son of a bitch on the block,i m still the toughest guy in this neighborhood
358,you re full of shit,you are full of it
359,you ever fuck a sheep,you ever shag your sheep
360,oh some dumb dumb left the security tag on,some dessert left a security tag
361,mom was crazy,mom was really upset
363,is that what you want goddamn it,is that what you really want
364,no one knows what happened to private cage skinner you dumb ass,no one knows what s wrong with private cage
365,the people called these creatures piece of shit robots because these creatures were apart from their rolling feet allowed them to look around on the floor from rectangular fixed pieces which looked like chopsticks with whom they were playing the kids on earth,the humans called these beings block robots because except for their cylindrical feet which allowed them to roll around the floor the creatures were all made of rectangular solid chunks that looked like the blocks that human children played with on earth
366,oh dude your rat dog just tongued me,hey dude your dog just licked me
367,abbas shut up,abbas quite
368,i mean this this here is my shit,i mean it s great here
370,you french make shitty coffee,all the french make bunks instead of coffee
371,you got the wrong damn end,you have a bad ending
372,you think you can fucking stop me,do you believe you can stop me
373,take that macho man randy savage you jerk,an observation macho mane randy savage
374,you gotta be fucking kidding me,they must be kidding me
375,damn blood vessel in my brain,a blood vessel in my brain busted
376,you got no fuckin guts,you out of guts
378,they fucking shot me,they shot me
379,lehman brothers is in much bigger shit than bear stearns,jim wilkinson lehman brothers is a hell of a lot bigger than bear stearns
380,no goddamn it i m i m only,you know i m only
381,damn stock,dude stock
382,we damn near killed them both,they nearly killed them both
383,everyone is sick,everyone s got nausea
384,please fucking stop,please stop
385,now shut up or you ll scare it off,now be quiet or you ll scare it
386,venn fuck off out of this house,venn move out of the house
387,she stood erect with dour breasts,she stood erect her bosom swelling
388,grandpa doesn t wanna slut it up with a bunch of old biddies,grandpa doesn t want to do a bunch of old ladies
389,it s a damn shame,well that s too bad
390,let me go for fuck s sake dil they re gonna be here,for god s sake dil let me go or they ll come
391,on the fucking ground,on the ground
392,they couldn t be as dumb as they look yes they could,they can t be as bad as they look
393,but then jacques cousteau came and he kicked his ass for betraying me,but then jacques cousteau came and told him he had betrayed me
395,shut up pan,hush pan
396,mike says hold on a second in that new bar when you go in you get a beer for a half dollar lunch for free will fuck you up,mike says now wait a minute wait a minute wait a minute there s a new bar and you go inside and for half a buck they give you a beer a free lunch and they get you laid
397,keep the fucking noise down,don t make any noise
399,he starts with my face but then somewhere along the way he gets distracted and ends up on my boobs,he always starts at his face but after a moment he makes a decision and ends up staring at my chest
400,menfa you re always so fucked up when you play dice,menfa you re always so enthusiastic whenever you play dice
401,there s a lotof dirty shit going on here,there s a lot of dirty things going on
402,what are you doing you fool,what are you doing you tool
403,he treats me like i m a fucking fag sonny,he treats me like a sidekick
404,swearing and talking shit,swearing and telling our lies
405,what the fuck are you an actor or some bullshit,are you an actor or something
406,she s a mean old bitch but she s yours,it s an old game but it s yours
408,shit that s terrible,my god that s terrible
409,now have a drink and go pin that cock on the wall,now let s have a drink and put the bird on the wall
411,duane rosenblum wants me to be his bitch and i m not sure i don t want to not,duane rosenblum wants me for my mistress and i m not sure i don t want her
412,jeez i think brown bear says whoa that is not what a guy wants to hear right after you have sex with him mindy,geez i think a brown bear says this is something the guy doesn t want to hear right after he s sleeping with him mindy
413,now with this now that you re down i d get ready for one of those class a new york style pigfucks,now that you re rocking it you can wait for a a new york style new york style
414,get your fucking hands off her,take your hands off her
415,i was the first to call it to clinch the checkout checkout and my husband agreed with this stupid and vulgar joke,i was the first to call it ringing the cash register and my husband went along with my crass and vulgar jest
416,we re at war with terrorists fat ass not with afghanistan,we re fighting terrorists not afghanistan
417,that hypocrite though i must get the name of his surgeon,he has to tell me the name of his plastic surgeon
419,holy jesus joseph and mary it s some shit,jesus joseph and doggie style mary
420,i could almost understand it if he had sex with them,i d almost understand if he loved them
421,you mean those days when she doesn t tell you to bugger off and chase you down the street throwing crabs at you,you mean like a day when he s not going to tell you to shoot he s not chasing you down the street and you don t want crab
422,you could dry your shit,you could dry your clothes off
423,yet another open conflict fuck this,another public conflict
424,yes damn it i know her,all right of course i know her
425,now he s a loser he s sick,he s all washed up now he s sick
426,you ve been doing the same shit since i hired you,ever since i hired you you re still doing the same thing
427,marsellus wallace don t like to be fucked by anybody except mrs wallace,but mr marsellus wallace doesn t like to be taken by anyone other than mrs wallace
428,that s martin caswell of red stupid,this is martin caswell from red ribbon
430,if we make sure you knew the drugs are illegal we ll arrest you for killing him,we find out you knew these drugs were illegal we re gonna arrest you for manslaughter
431,you re very handsome but i m not fucking vampires okay,look you re very attractive but i am not a fangbanger okay
432,the new slogan will be i love whores,i love hookers will now be the city s catch phrase
433,when you tell somebody somethin it depends on what part of the united states you re standin in as to just how dumb you are,before you tell anyone it depends on what part of the united states you are in to find out that you don t know anything
436,fucking died and went to heaven,i must have died and went to heaven
437,she deserves a worse death for what she did,she deserves worse than this for what she did
438,look here the damn dog,there s the dog
439,it was a pathetic deceit not worth condemnation,it was a woeful deception not worthy of condemnation
441,jesus christ i didn t know they allowed retards,jesus christ i didn t know he was allowed to slow down in shaffer
442,what the fuck happened,what s going on
443,i m supposed to run this shit,i m supposed to drive this heap
444,i may be shot but they will suffer,maybe i m going down but they ll hurt
446,god took my dick and the bushes,god is taking my bird and my bush
447,excuse me do you have balls,excuse me do you have these in the puffs
448,what s the matter with you fucking people,what s the matter with you guys
449,damn come on feretti,feretti let s go
450,mount fucking everest of problems,by scale i d say it s mount everest of all problems
451,he saved my ass remember,he saved my skin remember
452,i m surprised any of the ivy league s psychopathic wing of yours,i m surprised some ivy league psyche department hasn t snatched you up
453,people think we re having a romantic life full of shit but we re lonely,people think we lead lives of glamour and romance but we re really lonely
454,i heard what liz said about you and i just wanted to tell you that i ve known liz for a long time and she s a pretty bitch,look i heard what liz said about you and i just have to say that i have known liz a long long long time and she s totally shady
456,get the fuck out of here,let s get out of here
457,you and i we look ridiculous take a look,you and me we re so funny look look look at you
458,he looks like a poo poo crybaby,he looks like an usher
459,screw you don t come closer,don t come any closer
460,fucking believe it,can you believe this
461,well i was down the hall you know practicing my fox trot and then i heard your music so i figured go to hell,i trained a foxtrot in the hallway and i heard the music so i thought go somewhere
462,damn interview with the princess,holy smoke the princess s interview
463,i m not gonna feel a okay because i walked across some damn coals,i m not going to feel any better if i walk on hot coals
464,asshole,yoo hoo
465,keep your mouth shut and you ll walk out of here,be quiet and you ll get out of here alive
